"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"CDC42SE1",952,891,940,60,520,2594,2323,665,2324,1880,109,52,550,210,2754,1538,68,199,926,3412
"MLLT11",23,43,123,8,93,579,898,2950,267,120,2,30,51,66,204,221,0,13,53,87
"GABPB2",113,173,31,5,115,145,306,101,595,234,12,5,77,40,390,367,12,16,168,467
"SEMA6C",19,5,2,0,6,116,36,8,13,9,1,2,4,3,43,114,1,3,31,40
"TNFAIP8L2",2,1,0,0,3,9,6,1,2,0,0,0,0,0,1,5,0,0,2,1
"SCNM1",796,462,347,65,1060,1880,2343,609,1060,1077,187,38,466,149,628,1806,54,119,480,1154
"LYSMD1",24,31,10,2,23,34,105,16,71,124,4,3,10,10,74,170,5,10,42,79
"VPS72",1159,513,362,47,1005,3265,2543,590,1709,1246,254,41,723,180,1272,1802,69,120,697,1298
"PIP5K1A",648,449,266,17,173,568,1990,480,1015,327,80,13,215,172,729,455,41,103,619,2355
"PSMD4",2172,1947,824,233,1617,5158,5364,2387,5231,7209,452,460,1666,362,2641,8067,151,282,1229,2806
"RP11-126K1.2",29,19,14,0,57,41,112,16,103,106,9,4,20,9,62,68,6,8,42,33
"ZNF687",98,114,49,4,50,139,302,51,163,103,28,3,51,23,116,158,9,21,199,260
"PI4KB",395,336,131,12,148,592,709,654,734,403,120,12,184,80,671,746,52,74,404,1084
"RP11-126K1.9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
"RFX5",148,99,127,14,364,369,457,281,875,189,52,15,106,27,408,505,14,33,302,428
"RP11-126K1.8",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5
"RP11-126K1.6",5,2,4,0,50,67,47,20,51,24,2,0,6,2,7,16,0,1,9,11
"SELENBP1",552,2270,493,36,226,1745,4006,44,5318,1399,253,78,2225,296,2824,3529,119,258,1974,3115
"PSMB4",1282,1075,609,44,1439,4622,2152,1945,6301,3134,586,73,514,351,2457,4371,94,180,1122,2696
"POGZ",389,329,245,21,183,1690,1835,363,1615,449,116,10,341,278,1339,1619,73,136,1473,2869
"CGN",172,34,102,7,11,267,442,2,286,55,13,15,208,80,504,931,11,49,409,437
"TUFT1",210,173,194,2,28,233,497,79,467,206,39,12,229,50,866,474,63,143,494,1179
"RP11-404E16.1",0,0,0,0,3,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0
"SNX27",214,332,177,8,230,647,778,403,1234,452,38,12,181,85,1097,1605,23,58,552,1747
"RIIAD1",10,0,15,1,2,6,30,0,0,80,1,4,38,7,34,31,8,4,21,253
"RP11-98D18.15",5,0,0,0,3,6,9,6,1,1,1,0,2,0,1,2,1,0,3,35
"MRPL9",932,886,414,32,987,3264,3481,1111,4792,3657,250,10,780,176,1494,2620,75,187,643,2159
"OAZ3",79,186,66,12,113,194,2157,47,123,420,41,2,102,49,148,128,10,40,302,791
"RP11-98D18.3",0,0,1,0,0,6,2,1,0,0,1,0,8,0,0,0,0,0,1,1
"RP11-98D18.16",2,1,0,0,0,2,9,0,3,2,1,0,0,0,3,0,0,0,1,7
"TDRKH",47,99,34,17,40,259,544,14,252,136,29,8,98,19,110,184,3,8,60,407
"RP11-98D18.9",36,37,37,0,29,93,682,3,200,107,16,0,82,20,80,86,4,9,122,275
"LINGO4",3,1,1,0,0,1,8,0,11,19,1,0,0,0,9,1,0,0,1,1
"RORC",609,45,154,6,1,104,933,0,174,643,50,6,204,84,721,180,14,52,280,850
"C2CD4D",31,26,11,2,198,189,167,4,135,126,1,3,16,19,176,96,2,4,10,19
"AL450992.2",2,0,1,0,1,2,18,0,1,20,0,0,2,0,2,0,1,0,4,2
"THEM4",324,54,103,7,289,537,1372,484,945,450,95,6,307,141,654,498,42,117,581,1495
"S100A10",27697,4241,6393,319,601,2547,56518,31008,76503,35910,8426,143,7967,739,1907,9221,216,2347,9346,59894
"S100A11",48093,4606,22403,2171,7556,38831,81742,37250,83099,75118,12187,623,11678,8747,17808,12830,1320,4210,34228,74948
"TCHH",5,2,3,1,1,0,4,1,32,5,0,0,1,0,3,0,0,0,0,3
"FLG-AS1",0,0,1,0,0,1,0,6,1,4,0,0,0,0,0,1,0,0,0,0
"LCE1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGLYRP4",15,0,1,0,16,80,51,0,18,210,2,0,1,0,0,0,0,0,5,53
"S100A9",33468,295,358,238,45,760,21595,124,5623,642685,95,0,37,6,22,230,10,0,4377,5614
"S100A12",18,2,0,0,0,6,9,1,9,2999,0,0,1,0,0,3,0,0,0,2
"S100A8",28739,147,165,939,36,4162,18745,31,1246,784878,27,7,72,1,3,55,2,0,423,1412
"S100A7",16192,1,20,25,0,447,1882,0,237,133554,0,4,14,0,0,0,40,0,23976,1710
"S100A6",159997,2028,14547,531,699,6368,11291,96023,194653,267129,33,148,1711,2246,809,11256,393,1675,34991,53411
"S100A5",2,1,0,0,1,0,0,1,57,21,0,0,0,0,0,0,0,0,0,1
"S100A4",16535,296,903,11,378,613,490,9401,105864,9810,42,9,30,64,173,2174,4,31,142,642
"S100A3",6,1,2,0,3,0,9,318,100,94,1,0,0,0,1,6,0,1,5,11
"S100A2",545,30,58,18,27,33,56,1174,26503,71076,19,2,3,2,4,7,2,0,18,49
"S100A16",12065,1248,4326,144,105,927,5470,15753,22466,34929,1584,25,479,879,3190,37,373,675,6793,18243
"S100A14",18819,595,7186,20,1647,2874,4470,2,14431,45025,3433,48,2046,1251,6847,182,1114,3186,9688,73315
"S100A13",1553,439,3776,25,1524,1081,2694,4377,12095,6152,1499,44,2668,1803,4031,3583,893,1800,15801,23414
"S100A1",17,35,4092,2,1705,84,269,6,4669,170,91,7,263,475,790,14,74,271,1314,39743
"RP1-178F15.4",58,14,9,0,172,40,35,72,41,37,26,0,18,7,49,9,11,14,131,78
"CHTOP",932,935,402,52,456,1785,1974,858,2036,1928,174,36,419,131,1479,2189,92,163,934,1651
"SNAPIN",1104,650,565,88,489,1384,2068,915,1371,1347,136,39,802,196,1065,1771,82,229,1249,3786
"ILF2",2396,2124,1089,329,4703,10297,11115,2149,3304,6388,557,196,2412,457,3307,5255,184,342,1258,2889
"NPR1",0,0,0,0,0,2,0,0,5,5,8,1,0,2,7,0,0,0,0,0
"INTS3",252,196,123,4,212,457,927,383,557,254,77,3,173,79,580,548,37,64,485,1125
"SLC27A3",134,39,32,1,49,107,357,166,135,297,39,6,145,105,296,728,16,30,95,399
"GATAD2B",352,200,164,7,176,810,968,232,802,235,69,7,154,135,258,470,27,41,541,1219
